;descricao;discente;faltas_unidade;id_curso;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade
0;APROVADO POR NOTA;00bd67a601192f51da746e41e60815c7;0.0;92127264.0;1217967;5.0;5.5;6.0;f;1.0
1;APROVADO POR NOTA;00bd67a601192f51da746e41e60815c7;0.0;92127264.0;1217967;5.0;5.0;6.0;f;2.0
2;APROVADO POR NOTA;00bd67a601192f51da746e41e60815c7;0.0;92127264.0;1217967;5.0;4.5;6.0;f;3.0
3;APROVADO;fdf1f636486a3ad1d7bd6cc303c6c32a;0.0;92127264.0;1217967;7.1;5.0;0.0;f;1.0
4;APROVADO;fdf1f636486a3ad1d7bd6cc303c6c32a;0.0;92127264.0;1217967;7.1;8.2;0.0;f;2.0
5;APROVADO;fdf1f636486a3ad1d7bd6cc303c6c32a;0.0;92127264.0;1217967;7.1;8.2;0.0;f;3.0
6;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1217967;0.3;0.0;4.0;f;1.0
7;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1217967;0.3;1.0;4.0;f;2.0
8;REPROVADO;876c9810d6f4b25797d73c942f55764e;0.0;92127264.0;1217967;0.3;0.0;4.0;f;3.0
9;REPROVADO;d624069cd2691821d497421eae79b0bc;0.0;92127264.0;1217967;4.6;5.5;25.0;f;3.0
10;REPROVADO;d624069cd2691821d497421eae79b0bc;0.0;92127264.0;1217967;4.6;5.3;25.0;f;1.0
11;REPROVADO;d624069cd2691821d497421eae79b0bc;0.0;92127264.0;1217967;4.6;3.0;25.0;f;2.0
12;REPROVADO;da437177e090ab90ea33ba772cfbae03;0.0;92127264.0;1217967;3.9;2.5;6.0;f;1.0
13;REPROVADO;da437177e090ab90ea33ba772cfbae03;0.0;92127264.0;1217967;3.9;2.4;6.0;f;2.0
14;REPROVADO;da437177e090ab90ea33ba772cfbae03;0.0;92127264.0;1217967;3.9;6.7;6.0;f;3.0
15;REPROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1217967;0.6;1.6;15.0;f;1.0
16;REPROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1217967;0.6;0.0;15.0;f;2.0
17;REPROVADO;63e97bc77196994b439cb853cea9d42d;0.0;92127264.0;1217967;0.6;0.1;15.0;f;3.0
18;REPROVADO;a9d5358e13241d1fc953196fa2983412;0.0;92127264.0;1217967;2.3;3.5;14.0;f;1.0
19;REPROVADO;a9d5358e13241d1fc953196fa2983412;0.0;92127264.0;1217967;2.3;2.3;14.0;f;2.0
20;REPROVADO;a9d5358e13241d1fc953196fa2983412;0.0;92127264.0;1217967;2.3;1.0;14.0;f;3.0
21;REPROVADO;dfc0b8035c1c5931710e65e92d91aa30;0.0;92127264.0;1217967;1.2;3.7;22.0;f;1.0
