,id_discente,situacao,media_final
0,00a6b49bf37b24bae3ecd6e232df62df,REPROVADO,0.0
1,061b61765400fedb6dbefe7d8aec2ab2,REPROVADO,1.3999999999999997
2,0aa40b74a28a6ac360a53d11db36d4b1,APROVADO,7.099999999999999
3,0badb4940ad7fb13baf4bc106d625a3b,REPROVADO,0.0
4,1f9980fe1c021f84c297679a4b637e3a,APROVADO,8.1
5,25e9c456a188aeaa1bb0c54180e025e4,CANCELADO,0.6999999999999998
6,3565d6dca1563762614f86ff2f8d0175,APROVADO,7.3
7,374336aa77a8708d73df7d4fb7652d65,APROVADO,7.3
8,46d7a2bf4b1938916930add23c073a82,CANCELADO,0.0
9,4d622a566f40ecaec62dbcf8fd4d4691,APROVADO,8.2
10,5687a6e3e176076b575213fd55d92456,APROVADO,7.7
11,65fbb3b9d43b87dadafe8c024e7a160f,APROVADO POR NOTA,5.2
12,666bb00fce0947d7c236dbb17214ee17,REPROVADO,0.0
13,66c5b9d0348a9e4be1ed25e48d8f5013,APROVADO,7.5
14,690d729f227fbc71ea122a5fce7ec007,CANCELADO,0.0
15,75053e51579b73374948d898cc9930a4,APROVADO,10.0
16,7781df8ca65181f0ef969c9ea12d0280,REPROVADO POR MÉDIA E POR FALTAS,0.0
17,86c806c778be29ad694016f2719cb322,APROVADO,8.1
18,8b962e036aee96679773c1c32e747748,CANCELADO,1.6000000000000003
19,8fd1e748ee214a4df6a7d532de3b2014,APROVADO,8.3
20,8fddd9c7fe21dce7a5f93782ae8d9fd7,REPROVADO,1.8
21,9cd789fa9326bd47d0c1999bd3ac7497,CANCELADO,0.0
22,9f9299c15e1297dd6fa4362eb3d7e9dc,REPROVADO POR MÉDIA E POR FALTAS,0.0
23,af500eb6a30f91701916ecf9ef566198,CANCELADO,0.0
24,b4c87eb3471969ed310262ded660ecc6,REPROVADO,0.0
25,e72f5dd45de11ffcca8b45b4f5469ebc,REPROVADO,0.8000000000000002
26,ea4a63695cd754f5003d50fbac8b3b5f,APROVADO,10.0
27,ebd53acaa5961bfaa40d32a9b6f6484b,APROVADO POR NOTA,6.0
28,fd8a3b580a330291678913f2d9543d98,REPROVADO,1.7
