,id_discente,media_final
0,1f9980fe1c021f84c297679a4b637e3a,6.0
1,2aa425d54c07419c1644ad0d94906518,0.0
2,2fc25a5c0bb4bc245aa74f2f853c945e,5.7
3,3565d6dca1563762614f86ff2f8d0175,6.2
4,374336aa77a8708d73df7d4fb7652d65,3.7000000000000006
5,3f614a1df7a6005dc21f92cecda1dfce,5.1
6,467efe2ec412c5b17ab40bdbec089615,5.3
7,4d622a566f40ecaec62dbcf8fd4d4691,5.900000000000001
8,52e5d26cf784f8384b01cf22715a306e,0.9
9,75053e51579b73374948d898cc9930a4,6.599999999999999
10,7c3574b713e386ae7f8b7ed9ef67ff29,6.8
11,86c806c778be29ad694016f2719cb322,5.900000000000001
12,8e234a57b6bf339372ede30dd2a90383,5.5
13,8fd1e748ee214a4df6a7d532de3b2014,5.3
14,8fddd9c7fe21dce7a5f93782ae8d9fd7,5.1
15,9057ed36644f2d2717a3b676bd73f7b8,2.2
16,a3adfccc5c033c0235bf9c427c940156,3.5
17,b1a155be41a336e443d21bd3eb0e2b29,0.5
18,b54a03bf412069d53bd77453d2712c45,0.0
19,d35c58fd8abcf7f633318be5674b1ca1,6.900000000000001
20,ea4a63695cd754f5003d50fbac8b3b5f,7.400000000000001
21,eaa84db80d10ca957c12549a500f6098,5.400000000000001
