,id_discente,situacao,media_final
0,0bcd274d5d003a6f30c3cec49779f0bd,REPROVADO,1.5
1,0f141eb15b98b95f5a7f4eb5274a3e6e,REPROVADO,0.0
2,1c13c96cd00a04b605bdc6d82e2300b0,APROVADO POR NOTA,6.0
3,2fc25a5c0bb4bc245aa74f2f853c945e,APROVADO,8.7
4,3052d2abc48366d28a358d79d8c15406,APROVADO POR NOTA,6.3
5,36f836993ce30cdaad96b09baf2fc4df,APROVADO,9.2
6,411b8c05502c071424bb7b7ba1bb64cc,REPROVADO,0.0
7,5212cdc69119309455826dda36d02242,APROVADO POR NOTA,6.2
8,5a8b56cf4ed07cb7bcb51fe77616499d,CANCELADO,0.0
9,669a2ab0cfaf45bdab9605555e99facb,REPROVADO,3.9
10,73d4dc550c4ae6393a8e14ce6956867b,APROVADO POR NOTA,5.1
11,7d88ef4ba065e40e6c2f6fbee5a67de6,REPROVADO,0.8000000000000002
12,8761bfcf4ee429ca8ac04fef9a7a9417,APROVADO POR NOTA,5.599999999999999
13,8939ecc859ffe767728c9153f83080c1,REPROVADO,2.1
14,897f9ff69cb44f20079b890f4c0cc9c2,APROVADO,8.2
15,96ae0ca4d4a0f61d0f7786cbec5dd9e7,APROVADO,7.5
16,97d52df031127b6122c0f258779fcdd7,APROVADO POR NOTA,6.3
17,9a89044ddb8a39285d69623d001f8607,REPROVADO,1.6000000000000003
18,a5cd1ac4c2f7d67f317ffca8669134d2,CANCELADO,0.20000000000000004
19,a7f292c2b45fad074473655cf71beaec,APROVADO,10.0
20,c9fc8ff55b7cadfa38e5d0bb3c7b2ea6,APROVADO POR NOTA,6.099999999999999
21,cd969eaceec593fe78acda351accfdc9,APROVADO,8.4
22,d52626c8bbdb27545ef8b49ed0602e92,CANCELADO,1.6000000000000003
23,d7f2d94675d610537cde3ba9eeecb2fc,APROVADO POR NOTA,6.900000000000001
24,e151cacac24d8107764b749cc1b8a3af,CANCELADO,1.0
25,f131afc997b9f8ab158a76b9c3fd3777,CANCELADO,1.7
