,id_discente,situacao,media_final
0,061b61765400fedb6dbefe7d8aec2ab2,REPROVADO,2.4
1,0aa40b74a28a6ac360a53d11db36d4b1,APROVADO POR NOTA,6.400000000000001
2,0badb4940ad7fb13baf4bc106d625a3b,REPROVADO,2.6
3,1c13c96cd00a04b605bdc6d82e2300b0,REPROVADO POR MÉDIA E POR FALTAS,0.0
4,1f9980fe1c021f84c297679a4b637e3a,APROVADO POR NOTA,6.099999999999999
5,25e9c456a188aeaa1bb0c54180e025e4,CANCELADO,0.5
6,3565d6dca1563762614f86ff2f8d0175,APROVADO,7.2
7,374336aa77a8708d73df7d4fb7652d65,APROVADO POR NOTA,6.599999999999999
8,46d7a2bf4b1938916930add23c073a82,CANCELADO,0.0
9,5687a6e3e176076b575213fd55d92456,APROVADO,7.0
10,65fbb3b9d43b87dadafe8c024e7a160f,APROVADO POR NOTA,6.0
11,666bb00fce0947d7c236dbb17214ee17,REPROVADO,1.0
12,66c5b9d0348a9e4be1ed25e48d8f5013,APROVADO POR NOTA,5.2
13,690d729f227fbc71ea122a5fce7ec007,CANCELADO,0.0
14,75053e51579b73374948d898cc9930a4,APROVADO,8.1
15,7781df8ca65181f0ef969c9ea12d0280,REPROVADO POR MÉDIA E POR FALTAS,0.0
16,86c806c778be29ad694016f2719cb322,APROVADO,7.400000000000001
17,8fd1e748ee214a4df6a7d532de3b2014,APROVADO POR NOTA,6.099999999999999
18,8fddd9c7fe21dce7a5f93782ae8d9fd7,REPROVADO,1.8
19,9cd789fa9326bd47d0c1999bd3ac7497,CANCELADO,0.0
20,af500eb6a30f91701916ecf9ef566198,CANCELADO,0.0
21,b4c87eb3471969ed310262ded660ecc6,REPROVADO POR MÉDIA E POR FALTAS,0.0
22,e72f5dd45de11ffcca8b45b4f5469ebc,REPROVADO,1.2
23,ea4a63695cd754f5003d50fbac8b3b5f,APROVADO,8.1
24,ebd53acaa5961bfaa40d32a9b6f6484b,APROVADO POR NOTA,6.3
25,fd8a3b580a330291678913f2d9543d98,REPROVADO,2.2
